station,longitude,latitude
金安桥,116.169048,39.929569
四道桥,116.14035600000001,39.922119
桥户营,116.132271,39.918355
上岸,116.12871399999999,39.911139
栗园庄,116.129827,39.901771000000004
小园,116.121001,39.896156
石厂,116.400228,39.957365
苹果园,116.184436,39.932435999999996
古城,116.197076,39.913414
八角游乐园,116.21939499999999,39.913076000000004
八宝山,116.24835800000001,39.918286
玉泉路,116.259475,39.913501000000004
五棵松,116.28066100000001,39.913834
万寿路,116.30161799999999,39.923346
公主坟,116.316746,39.913701
军事博物馆,116.330207,39.914976
木樨地,116.3441,39.913125
南礼士路,116.359177,39.912979
复兴门,116.36376000000001,39.913025
西单,116.381905,39.913327
天安门西,116.398036,39.913776
天安门东,116.407913,39.914082
王府井,116.418038,39.91979
东单,116.425374,39.914503
建国门,116.44195,39.914505
永安里,116.457086,39.914223
国贸,116.46732800000001,39.914437
大望路,116.48355500000001,39.914614
四惠,116.50203300000001,39.914861
四惠东,116.521965,39.914941
积水潭,116.379185,39.954765
鼓楼大街,116.40023799999999,39.954611
安定门,116.414597,39.955441
雍和宫,116.42363300000001,39.953628
东直门,116.44136499999999,39.947769
东四十条,116.44063799999999,39.939840999999994
朝阳门,116.44018999999999,39.93046
北京站,116.43354699999999,39.909462
崇文门,116.42442700000001,39.9072
前门,116.404276,39.906534
和平门,116.390619,39.906362
宣武门,116.380848,39.905881
长椿街,116.36991100000002,39.90534
阜成门,116.36281699999999,39.929522
车公庄,116.36188700000001,39.938351000000004
西直门,116.361446,39.946471
天宫院,116.32643700000001,39.676122
生物医药基地,116.32821799999999,39.692271999999996
义和庄,116.325538,39.718296
黄村火车站,116.33821599999999,39.725999
黄村西大街,116.339128,39.73738
清源路,116.339019,39.748354
枣园,116.338975,39.759079
高米店南,116.33841000000001,39.769059000000006
高米店北,116.337331,39.779548
西红门,116.335169,39.795445
新宫,116.372097,39.818302
公益西桥,116.38058999999998,39.837705
角门西,116.377646,39.851929
马家堡,116.37787800000001,39.859199
北京南站,116.385488,39.87128
陶然亭,116.388442,39.88066
菜市口,116.38095600000001,39.895379
灵境胡同,116.380223,39.922136
西四,116.37977,39.930248
平安里,116.378599,39.939262
新街口,116.374132,39.94658
动物园,116.343376,39.947734999999994
国家图书馆,116.33006499999999,39.949641
魏公村,116.329874,39.963457
人民大学,116.319769,39.976546
海淀黄庄,116.32434599999999,39.981865
中关村,116.323066,39.989956
北京大学东门,116.32226499999999,39.998006
圆明园,116.309804,40.012658
西苑,116.297853,40.0049
北宫门,116.28398999999999,40.008678
安河桥北,116.276432,40.018657
宋家庄,116.43490800000001,39.851735
刘家窑,116.42856499999999,39.863696999999995
蒲黄榆,116.428882,39.871689
天坛东门,116.427392,39.888496999999994
磁器口,116.425886,39.899336
灯市口,116.424182,39.923388
东四,116.423282,39.93053
张自忠路,116.423579,39.939914
北新桥,116.423298,39.947112
和平里北街,116.425051,39.964752000000004
和平西桥,116.42446299999999,39.974502
惠新西街南口,116.424044,39.983276000000004
