station,longitude,latitude,count
金安桥,116.169048,39.929569,50
四道桥,116.140356,39.922119,18
桥户营,116.132271,39.918355,61
上岸,116.128714,39.911139,67
栗园庄,116.129827,39.901771,77
小园,116.121001,39.896156,80
石厂,116.400228,39.957365,1050
苹果园,116.184436,39.932436,73
古城,116.197076,39.913414,173
八角游乐园,116.219395,39.913076,160
八宝山,116.248358,39.918286,164
玉泉路,116.259475,39.913501,358
五棵松,116.280661,39.913834,471
万寿路,116.301618,39.923346,271
公主坟,116.316746,39.913701,177
军事博物馆,116.330207,39.914976,245
木樨地,116.3441,39.913125,430
南礼士路,116.359177,39.912979,524
复兴门,116.36376,39.913025,508
西单,116.381905,39.913327,368
天安门西,116.398036,39.913776,750
天安门东,116.407913,39.914082,1022
王府井,116.418038,39.91979,1162
东单,116.425374,39.914503,1643
建国门,116.44195,39.914505,1382
永安里,116.457086,39.914223,1885
国贸,116.467328,39.914437,1875
大望路,116.483555,39.914614,1561
四惠,116.502033,39.914861,1201
四惠东,116.521965,39.914941,715
积水潭,116.379185,39.954765,827
鼓楼大街,116.400238,39.954611,1143
安定门,116.414597,39.955441,947
雍和宫,116.423633,39.953628,1003
东直门,116.441365,39.947769,1560
东四十条,116.440638,39.939841,1837
朝阳门,116.44019,39.93046,2286
北京站,116.433547,39.909462,1962
崇文门,116.424427,39.9072,2082
前门,116.404276,39.906534,1675
和平门,116.390619,39.906362,568
宣武门,116.380848,39.905881,386
长椿街,116.36991100000002,39.90534,403
阜成门,116.362817,39.929522,624
车公庄,116.361887,39.938351,901
西直门,116.361446,39.946471,720
天宫院,116.326437,39.676122,134
生物医药基地,116.328218,39.692272,123
义和庄,116.325538,39.718296,387
黄村火车站,116.338216,39.725999,182
黄村西大街,116.339128,39.73738,61
清源路,116.339019,39.748354,108
枣园,116.338975,39.759079,136
高米店南,116.33841,39.76905900000001,168
高米店北,116.337331,39.779548,135
西红门,116.335169,39.795445,59
新宫,116.372097,39.818302,103
公益西桥,116.38058999999998,39.837705,403
角门西,116.377646,39.851929,725
马家堡,116.377878,39.859199,574
北京南站,116.385488,39.87128,382
陶然亭,116.388442,39.88066,592
菜市口,116.380956,39.895379,589
灵境胡同,116.380223,39.922136,440
西四,116.37977,39.930248,879
平安里,116.378599,39.939262,1103
新街口,116.374132,39.94658,992
动物园,116.343376,39.947735,395
国家图书馆,116.330065,39.949641,486
魏公村,116.329874,39.963457,663
人民大学,116.319769,39.976546,726
海淀黄庄,116.324346,39.981865,996
中关村,116.323066,39.989956,967
北京大学东门,116.322265,39.998006,680
圆明园,116.309804,40.012658,73
西苑,116.297853,40.0049,62
北宫门,116.28399,40.008678,40
安河桥北,116.276432,40.018657,67
宋家庄,116.434908,39.851735,608
刘家窑,116.428565,39.863697,679
蒲黄榆,116.428882,39.871689,615
天坛东门,116.427392,39.888497,1603
磁器口,116.425886,39.899336,1908
灯市口,116.424182,39.923388,1404
东四,116.423282,39.93053,1813
张自忠路,116.423579,39.939914,1659
北新桥,116.423298,39.947112,1285
和平里北街,116.425051,39.964752,601
和平西桥,116.424463,39.974502,621
惠新西街南口,116.424044,39.983276,551
惠新西街北口,116.423532,39.994151,547
大屯路东,116.424567,40.009611,232
北苑路北,116.424525,40.036821,290
立水桥南,116.420973,40.048143,366
立水桥,116.418267,40.059246,345
天通苑南,116.419113,40.072752,181
天通苑,116.419233,40.081478,119
天通苑北,116.419385,40.089597,88
潞城,116.754522,39.908938,0
东夏园,116.740106,39.909495,0
郝家府,116.724216,39.909287,0
北运河东,116.713759,39.909261,6
北运河西,116.694826,39.908841,39
通州北关,116.668081,39.924614,715
物资学院路,116.645884,39.933079,333
草房,116.622524,39.930668,316
常营,116.606123,39.93154000000001,418
黄渠,116.584911,39.929936,278
褡裢坡,116.570246,39.929826,236
青年路,116.523308,39.929458,711
十里堡,116.508486,39.929239,859
金台路,116.484909,39.929069,1060
呼家楼,116.468113,39.92898,1731
东大桥,116.458435,39.928663,2257
南锣鼓巷,116.408878,39.943562,1500
北海北,116.393248,39.939519,1393
车公庄西,116.350736,39.938074,600
白石桥南,116.331686,39.938564,437
花园桥,116.31757,39.938382,414
慈寿寺,116.300785,39.93930200000001,256
海淀五路居,116.282952,39.938607,146
田村,116.252191,39.9372,50
廖公庄,116.23356499999998,39.938022,62
西黄村,116.213379,39.939411,100
杨庄,116.195336,39.930221,124
焦化厂,116.543631,39.861686,57
双合,116.533066,39.866062,35
垡头,116.518225,39.867185,82
欢乐谷景区,116.505928,39.872908,101
南楼梓庄,116.50781299999998,39.88079000000001,331
化工,116.492468,39.897571,1541
百子湾,116.504162,39.898706,1035
大郊亭,116.494705,39.899072,1389
九龙山,116.484688,39.899325,2027
广渠门外,116.455905,39.899309,2035
广渠门内,116.440734,39.899617,1693
桥湾,116.415256,39.899013,1865
珠市口,116.404809,39.897338,1745
虎坊桥,116.390649,39.895692,884
广安门内,116.364636,39.89543,395
达官营,116.342267,39.89567,603
